,cryptodate,Open,High,Low,Close,Volume,Dividends,Stock Splits,crypto_ticker
0,2015-01-01,320.43499755859375,320.43499755859375,314.00299072265625,314.2489929199219,8036550,0,0,BTC
1,2015-01-02,314.0790100097656,315.8389892578125,313.56500244140625,315.0320129394531,7860650,0,0,BTC
2,2015-01-03,314.84600830078125,315.1499938964844,281.0820007324219,281.0820007324219,33054400,0,0,BTC
3,2015-01-04,281.14599609375,287.2300109863281,257.61199951171875,264.19500732421875,55629100,0,0,BTC
4,2015-01-05,265.0840148925781,278.34100341796875,265.0840148925781,274.4739990234375,43962800,0,0,BTC
5,2015-01-06,274.6109924316406,287.5530090332031,272.6960144042969,286.1889953613281,23245700,0,0,BTC
6,2015-01-07,286.0769958496094,298.7539978027344,283.0790100097656,294.3370056152344,24866800,0,0,BTC
7,2015-01-08,294.135009765625,294.135009765625,282.17498779296875,283.3489990234375,19982500,0,0,BTC
8,2015-01-09,282.38299560546875,291.114013671875,280.5329895019531,290.4079895019531,18718600,0,0,BTC
9,2015-01-10,287.3030090332031,288.12701416015625,273.96600341796875,274.7959899902344,15264300,0,0,BTC
10,2015-01-11,274.6080017089844,279.63800048828125,265.03900146484375,265.6600036621094,18200800,0,0,BTC
11,2015-01-12,266.14599609375,272.2030029296875,265.20001220703125,267.7959899902344,18880300,0,0,BTC
12,2015-01-13,267.3940124511719,268.2770080566406,219.906005859375,225.86099243164062,72843904,0,0,BTC
13,2015-01-14,223.8939971923828,223.8939971923828,171.50999450683594,178.10299682617188,97638704,0,0,BTC
14,2015-01-15,176.89700317382812,229.06700134277344,176.89700317382812,209.843994140625,81773504,0,0,BTC
15,2015-01-16,209.07000732421875,221.59100341796875,199.77099609375,208.0970001220703,38421000,0,0,BTC
16,2015-01-17,207.83399963378906,211.7310028076172,194.875,199.25999450683594,23469700,0,0,BTC
17,2015-01-18,200.0500030517578,218.69500732421875,194.50599670410156,210.33900451660156,30085100,0,0,BTC
18,2015-01-19,211.4709930419922,216.72799682617188,207.3179931640625,214.86099243164062,18658300,0,0,BTC
19,2015-01-20,212.90699768066406,215.24099731445312,205.1529998779297,211.31500244140625,24051100,0,0,BTC
20,2015-01-21,211.3780059814453,227.78799438476562,211.21200561523438,226.89700317382812,29924600,0,0,BTC
21,2015-01-22,227.32200622558594,237.0189971923828,226.4340057373047,233.406005859375,33544600,0,0,BTC
22,2015-01-23,233.51699829101562,234.84500122070312,225.1959991455078,232.87899780273438,24621700,0,0,BTC
23,2015-01-24,232.6999969482422,248.2100067138672,230.02200317382812,247.8470001220703,24782500,0,0,BTC
24,2015-01-25,247.3520050048828,255.07400512695312,243.88999938964844,253.71800231933594,33582700,0,0,BTC
25,2015-01-26,254.07899475097656,309.3840026855469,254.07899475097656,273.4729919433594,106794000,0,0,BTC
26,2015-01-27,273.1669921875,275.4800109863281,250.6529998779297,263.4750061035156,44399000,0,0,BTC
27,2015-01-28,263.35101318359375,266.5350036621094,227.04600524902344,233.9149932861328,44352200,0,0,BTC
28,2015-01-29,233.34800720214844,238.70599365234375,220.71200561523438,233.51300048828125,32213400,0,0,BTC
29,2015-01-30,232.77200317382812,242.8509979248047,225.83900451660156,226.4250030517578,26605200,0,0,BTC
30,2015-01-31,226.4409942626953,233.50399780273438,216.3090057373047,217.46400451660156,23348200,0,0,BTC
31,2015-02-01,216.86700439453125,231.57400512695312,212.01499938964844,226.9720001220703,29128500,0,0,BTC
32,2015-02-02,226.49099731445312,242.1750030517578,222.65899658203125,238.22900390625,30612100,0,0,BTC
33,2015-02-03,237.45399475097656,245.95700073242188,224.48300170898438,227.26800537109375,40783700,0,0,BTC
34,2015-02-04,227.51100158691406,230.05799865722656,221.11300659179688,226.85299682617188,26594300,0,0,BTC
35,2015-02-05,227.6649932861328,239.40499877929688,214.72500610351562,217.11099243164062,22516400,0,0,BTC
36,2015-02-06,216.92300415039062,230.50999450683594,216.23199462890625,222.26600646972656,24435300,0,0,BTC
37,2015-02-07,222.63299560546875,230.2989959716797,222.60699462890625,227.75399780273438,21604200,0,0,BTC
38,2015-02-08,227.6929931640625,229.43800354003906,221.07699584960938,223.41200256347656,17145200,0,0,BTC
39,2015-02-09,223.38900756835938,223.9770050048828,217.0189971923828,220.11000061035156,27791300,0,0,BTC
40,2015-02-10,220.28199768066406,221.8070068359375,215.33200073242188,219.83900451660156,21115100,0,0,BTC
41,2015-02-11,219.73199462890625,223.406005859375,218.07400512695312,219.18499755859375,17201900,0,0,BTC
42,2015-02-12,219.20799255371094,222.19900512695312,217.61399841308594,221.76400756835938,15206200,0,0,BTC
43,2015-02-13,221.968994140625,240.25900268554688,221.26199340820312,235.427001953125,42744400,0,0,BTC
44,2015-02-14,235.5279998779297,259.8080139160156,235.5279998779297,257.3210144042969,49732500,0,0,BTC
45,2015-02-15,257.5069885253906,265.6109924316406,227.6840057373047,234.8249969482422,56552400,0,0,BTC
46,2015-02-16,234.8249969482422,239.52099609375,229.02200317382812,233.84300231933594,28153700,0,0,BTC
47,2015-02-17,233.4219970703125,245.77499389648438,232.31399536132812,243.61000061035156,27363100,0,0,BTC
48,2015-02-18,243.77999877929688,244.25100708007812,232.33999633789062,236.3260040283203,25200800,0,0,BTC
49,2015-02-19,236.41000366210938,242.6719970703125,235.5919952392578,240.2830047607422,18270500,0,0,BTC
50,2015-02-20,240.25100708007812,247.1009979248047,239.2989959716797,243.7790069580078,23876700,0,0,BTC
51,2015-02-21,243.7519989013672,255.32000732421875,243.1840057373047,244.53399658203125,12284200,0,0,BTC
52,2015-02-22,244.54400634765625,246.39199829101562,233.8509979248047,235.9770050048828,19527000,0,0,BTC
53,2015-02-23,235.9949951171875,240.10899353027344,232.42100524902344,238.89199829101562,16400000,0,0,BTC
54,2015-02-24,238.9980010986328,239.9010009765625,236.40199279785156,238.73500061035156,14200400,0,0,BTC
55,2015-02-25,238.88999938964844,239.33999633789062,235.52999877929688,237.47000122070312,11496200,0,0,BTC
56,2015-02-26,237.33700561523438,237.7100067138672,234.2570037841797,236.42599487304688,13619400,0,0,BTC
57,2015-02-27,236.43600463867188,256.65301513671875,236.43600463867188,253.8280029296875,44013900,0,0,BTC
58,2015-02-28,253.52000427246094,254.69200134277344,249.47900390625,254.26300048828125,13949300,0,0,BTC
59,2015-03-01,254.2830047607422,261.6600036621094,245.93299865722656,260.2019958496094,25213700,0,0,BTC
60,2015-03-02,260.35699462890625,276.3009948730469,258.31298828125,275.6700134277344,40465700,0,0,BTC
61,2015-03-03,275.0459899902344,285.7959899902344,268.1610107421875,281.7019958496094,50461300,0,0,BTC
62,2015-03-04,281.989990234375,284.2250061035156,268.1260070800781,273.0920104980469,41383000,0,0,BTC
63,2015-03-05,272.739013671875,281.6669921875,264.7690124511719,276.1780090332031,41302400,0,0,BTC
64,2015-03-06,275.6000061035156,277.6080017089844,270.0150146484375,272.7229919433594,28918900,0,0,BTC
65,2015-03-07,272.29400634765625,277.85400390625,270.13299560546875,276.260986328125,17825900,0,0,BTC
66,2015-03-08,276.4330139160156,277.8580017089844,272.56500244140625,274.35400390625,22067900,0,0,BTC
67,2015-03-09,274.81201171875,292.70098876953125,273.89300537109375,289.60699462890625,59178200,0,0,BTC
68,2015-03-10,289.86199951171875,300.04400634765625,289.7430114746094,291.760009765625,67770800,0,0,BTC
69,2015-03-11,291.5249938964844,297.3909912109375,290.50799560546875,296.3789978027344,33963900,0,0,BTC
70,2015-03-12,296.12701416015625,297.0880126953125,292.4129943847656,294.35400390625,32585200,0,0,BTC
71,2015-03-13,294.1180114746094,294.49798583984375,285.3370056152344,285.3370056152344,31421500,0,0,BTC
72,2015-03-14,284.4419860839844,286.3420104980469,280.97601318359375,281.885009765625,22612300,0,0,BTC
73,2015-03-15,281.42498779296875,286.52899169921875,280.9960021972656,286.39300537109375,11970100,0,0,BTC
74,2015-03-16,285.68499755859375,294.11199951171875,285.68499755859375,290.5929870605469,21516100,0,0,BTC
