Date,Open,High,Low,Close,Volume,crypto_ticker,daily_return($),weekly_return($),monthly_return($),quarterly_return($),annual_return($),7_MA_Close,30_MA_Close,90_MA_Close,180_MA_Close,365_MA_Close,7_STD_Close,30_STD_Close,90_STD_Close,180_STD_Close,365_STD_Close,7_MA_daily_return($),30_MA_daily_return($),90_MA_daily_return($),180_MA_daily_return($),365_MA_daily_return($),7_STD_daily_return($),30_STD_daily_return($),90_STD_daily_return($),180_STD_daily_return($),365_STD_daily_return($)
2019-01-01,3746.71337890625,3850.913818359375,3707.231201171875,3843.52001953125,4324200990,BTC,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,3849.21630859375,3947.981201171875,3817.409423828125,3943.409423828125,5244856836,BTC,99.889404296875,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,3931.048583984375,3935.68505859375,3826.222900390625,3836.7412109375,4530215219,BTC,-106.668212890625,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-04,3832.0400390625,3865.9345703125,3783.853759765625,3857.717529296875,4847965467,BTC,20.976318359375,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-05,3851.973876953125,3904.903076171875,3836.900146484375,3845.194580078125,5137609824,BTC,-12.52294921875,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-06,3836.51904296875,4093.29736328125,3826.51318359375,4076.632568359375,5597027440,BTC,231.43798828125,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-07,4078.5849609375,4092.613525390625,4020.89404296875,4025.248291015625,5228625637,BTC,-51.38427734375,,,,,3918.3519461495534,,,,,98.65438253595134,,,,,,,,,,,,,,
2019-01-08,4028.47216796875,4109.02099609375,3996.955322265625,4030.847900390625,5306593305,BTC,5.599609375,187.327880859375,,,,3945.1130719866073,,,,,100.36478519882257,,,,,26.761125837053573,,,,,110.43472274878886,,,,
2019-01-09,4031.552001953125,4068.403564453125,4022.662841796875,4035.29638671875,5115905225,BTC,4.448486328125,91.886962890625,,,,3958.2397809709823,,,,,105.95792802313908,,,,,13.126708984375,,,,,105.69121332335781,,,,
2019-01-10,4034.411376953125,4064.066650390625,3659.174560546875,3678.924560546875,6874143796,BTC,-356.371826171875,-157.816650390625,,,,3935.6945452008927,,,,,145.52180324303325,,,,,-22.545235770089285,,,,,173.34682293031287,,,,
2019-01-11,3674.015380859375,3713.8818359375,3653.06982421875,3687.365478515625,5538712865,BTC,8.44091796875,-170.35205078125,,,,3911.3585379464284,,,,,172.48226620075073,,,,,-24.336007254464285,,,,,172.88642424643885,,,,
2019-01-12,3686.97314453125,3698.978271484375,3653.810791015625,3661.301025390625,4778170883,BTC,-26.064453125,-183.8935546875,,,,3885.0880301339284,,,,,196.56250325795042,,,,,-26.2705078125,,,,,172.80795567644194,,,,
2019-01-13,3658.8681640625,3674.760009765625,3544.92724609375,3552.953125,4681302466,BTC,-108.347900390625,-523.679443359375,,,,3810.276681082589,,,,,210.66087501730735,,,,,-74.81134905133929,,,,,131.02485375348235,,,,
